dataset,setting,lambda,gamma,replica_index,auroc,auprc,f1,shd,core_runtime_sec,end_to_end_runtime_sec,predicted_edges,gt_edges,tp,fp,fn,tn
ND8,lambda_0.75_gamma_0.00625,0.75,0.00625,4,0.7767722473604827,0.49359386731854216,0.41269841269841273,37.0,1293.781194601208,1293.8926149257459,50,13,13,37,0,14
ND8,lambda_0.75_gamma_0.0125,0.75,0.0125,0,0.77526395173454,0.5225121619489593,0.43333333333333335,34.0,1289.8776128981262,1290.0036453558132,47,13,13,34,0,17
ND8,lambda_0.75_gamma_0.0125,0.75,0.0125,1,0.7782805429864253,0.5196061860112687,0.4210526315789473,32.0,1283.5336362388916,1283.6451027956791,44,13,12,32,1,19
ND8,lambda_0.75_gamma_0.0125,0.75,0.0125,2,0.7722473604826546,0.5215051816700169,0.46808510638297873,23.0,1282.9126415909268,1283.0163089642301,34,13,11,23,2,28
ND8,lambda_0.75_gamma_0.0125,0.75,0.0125,3,0.77526395173454,0.514040948778413,0.46808510638297873,23.0,1282.735057496,1282.8346565389074,34,13,11,23,2,28
ND8,lambda_0.75_gamma_0.0125,0.75,0.0125,4,0.77526395173454,0.514040948778413,0.46808510638297873,23.0,1283.4038093192503,1283.5070399558172,34,13,11,23,2,28
ND8,lambda_0.75_gamma_0.01875,0.75,0.01875,0,0.779788838612368,0.5286868461553178,0.4347826086956522,12.0,1292.353953557089,1292.4690427840687,10,13,5,5,8,46
ND8,lambda_0.75_gamma_0.01875,0.75,0.01875,1,0.7858220211161387,0.5245316876523332,0.4347826086956522,12.0,1291.1803700109012,1291.2774509233423,10,13,5,5,8,46
ND8,lambda_0.75_gamma_0.01875,0.75,0.01875,2,0.7662141779788839,0.5255482812448757,0.4347826086956522,12.0,1291.5972241079435,1291.6988792270422,10,13,5,5,8,46
ND8,lambda_0.75_gamma_0.01875,0.75,0.01875,3,0.7737556561085973,0.5200393784282805,0.4347826086956522,12.0,1288.01473434316,1288.110547205899,10,13,5,5,8,46
ND8,lambda_0.75_gamma_0.01875,0.75,0.01875,4,0.7737556561085973,0.5200393784282805,0.4347826086956522,12.0,1284.4681242769584,1284.569420603104,10,13,5,5,8,46
ND8,lambda_0.75_gamma_0.025,0.75,0.025,0,0.7858220211161387,0.5112651443937805,0.4347826086956522,12.0,1297.3497056490742,1297.4562480910681,10,13,5,5,8,46
ND8,lambda_0.75_gamma_0.025,0.75,0.025,1,0.803921568627451,0.5409770284533093,0.4347826086956522,12.0,1297.9528757375665,1298.0561789600179,10,13,5,5,8,46
ND8,lambda_0.75_gamma_0.025,0.75,0.025,2,0.7782805429864253,0.5328880270056741,0.4347826086956522,12.0,1299.3300370890647,1299.4321544067934,10,13,5,5,8,46
ND8,lambda_0.75_gamma_0.025,0.75,0.025,3,0.7828054298642534,0.5327354143904668,0.4347826086956522,12.0,1299.1533084423281,1299.2646748330444,10,13,5,5,8,46
ND8,lambda_0.75_gamma_0.025,0.75,0.025,4,0.7828054298642534,0.5327354143904668,0.4347826086956522,12.0,1296.7277840529568,1296.8363585947081,10,13,5,5,8,46
ND8,lambda_0.75_gamma_0,0.75,0.0,0,0.7119155354449472,0.4036427362105327,0.4210526315789473,32.0,1314.1495611839928,1314.269455682952,44,13,12,32,1,19
ND8,lambda_0.75_gamma_0,0.75,0.0,1,0.7134238310708899,0.3930378603090273,0.4,35.0,1313.6943735172972,1313.7950390828773,47,13,12,35,1,16
ND8,lambda_0.75_gamma_0,0.75,0.0,2,0.6802413273001509,0.36048221792368945,0.38596491228070173,34.0,1313.356394733768,1313.4612857531756,44,13,11,33,2,18
ND8,lambda_0.75_gamma_0,0.75,0.0,3,0.7088989441930619,0.43711808676273556,0.38095238095238093,38.0,1310.5363455298357,1310.6375140594319,50,13,12,38,1,13
ND8,lambda_0.75_gamma_0,0.75,0.0,4,0.7088989441930619,0.43711808676273556,0.38095238095238093,38.0,1305.4240631540306,1305.5284839551896,50,13,12,38,1,13
ND8,lambda_0_gamma_0.00625,0.0,0.00625,0,0.7254901960784313,0.4117245123848897,0.45,18.0,1312.3781467368826,1312.4988630278967,27,13,9,18,4,33
ND8,lambda_0_gamma_0.00625,0.0,0.00625,1,0.7631975867269984,0.45259566402527224,0.4848484848484849,14.0,1302.8753309636377,1302.9907967248,20,13,8,12,5,39
ND8,lambda_0_gamma_0.00625,0.0,0.00625,2,0.7149321266968326,0.4119268121050803,0.5333333333333333,11.0,1303.7163751153275,1303.825251166243,17,13,8,9,5,42
ND8,lambda_0_gamma_0.00625,0.0,0.00625,3,0.7435897435897436,0.4138174075101952,0.4848484848484849,13.0,1304.6157839070074,1304.7235047342256,20,13,8,12,5,39
ND8,lambda_0_gamma_0.00625,0.0,0.00625,4,0.7435897435897436,0.4138174075101952,0.4848484848484849,13.0,1304.8785838522017,1304.9863315457478,20,13,8,12,5,39
ND8,lambda_0_gamma_0.0125,0.0,0.0125,0,0.7239819004524887,0.4155721520662991,0.48648648648648646,15.0,1314.4068477917463,1314.5174918570556,24,13,9,15,4,36
ND8,lambda_0_gamma_0.0125,0.0,0.0125,1,0.770739064856712,0.44652015905700043,0.5185185185185186,11.0,1312.884152833838,1312.9907958400436,14,13,7,7,6,44
ND8,lambda_0_gamma_0.0125,0.0,0.0125,2,0.751131221719457,0.4042159536391928,0.4848484848484849,13.0,1312.9954108339734,1313.1024063751101,20,13,8,12,5,39
ND8,lambda_0_gamma_0.0125,0.0,0.0125,3,0.7496229260935143,0.40927373280314455,0.5,17.0,1306.6896112039685,1306.7998068989255,27,13,10,17,3,34
ND8,lambda_0_gamma_0.0125,0.0,0.0125,4,0.7496229260935143,0.40927373280314455,0.5,17.0,1304.1204239339568,1304.228583396878,27,13,10,17,3,34
ND8,lambda_0_gamma_0.01875,0.0,0.01875,0,0.7149321266968326,0.39096210303106854,0.48648648648648646,15.0,1296.5665669818409,1296.7101023611613,24,13,9,15,4,36
ND8,lambda_0_gamma_0.01875,0.0,0.01875,1,0.7767722473604827,0.434781068604598,0.4347826086956522,11.0,1296.6168684307486,1296.7525202049874,10,13,5,5,8,46
ND8,lambda_0_gamma_0.01875,0.0,0.01875,2,0.755656108597285,0.3983852866496812,0.4347826086956522,11.0,1295.8892492386512,1296.0068661589175,10,13,5,5,8,46
ND8,lambda_0_gamma_0.01875,0.0,0.01875,3,0.7586726998491704,0.40494855437179356,0.5405405405405406,14.0,1296.0541057018563,1296.1650701970793,24,13,10,14,3,37
ND8,lambda_0_gamma_0.01875,0.0,0.01875,4,0.7586726998491704,0.40494855437179356,0.5405405405405406,14.0,1295.5581270712428,1295.6702118571848,24,13,10,14,3,37
ND8,lambda_0_gamma_0.025,0.0,0.025,0,0.7058823529411765,0.3769187933995236,0.48648648648648646,15.0,1297.5197547227144,1297.6247574822046,24,13,9,15,4,36
ND8,lambda_0_gamma_0.025,0.0,0.025,1,0.7722473604826546,0.42449711136942125,0.4347826086956522,11.0,1290.465875305701,1290.5714134769514,10,13,5,5,8,46
ND8,lambda_0_gamma_0.025,0.0,0.025,2,0.755656108597285,0.39123897384299106,0.4347826086956522,11.0,1290.806107223034,1290.9123217966408,10,13,5,5,8,46
ND8,lambda_0_gamma_0.025,0.0,0.025,3,0.7631975867269984,0.4011258349493643,0.5,17.0,1290.4710786780342,1290.5717546739615,27,13,10,17,3,34
ND8,lambda_0_gamma_0.025,0.0,0.025,4,0.7631975867269984,0.4011258349493643,0.5,17.0,1290.4350672918372,1290.5408070357516,27,13,10,17,3,34
ND8,lambda_0_gamma_0,0.0,0.0,0,0.5867269984917044,0.2711815759620457,0.4,21.0,1313.7559771258384,1313.8591037448496,27,13,8,19,5,32
ND8,lambda_0_gamma_0,0.0,0.0,1,0.6365007541478129,0.29255942269500124,0.3,24.0,1313.640353513416,1313.741639604792,27,13,6,21,7,30
